Date,Open,High,Low,Close,Volume,Adj Close,Diff,StockUp,Year,Month,Day
2015-05-07,124.769997,126.080002,124.019997,125.260002,43940900,123.493969,-0.490005,0,2015,5,7
2015-05-06,126.559998,126.75,123.360001,125.010002,72141000,122.73483,1.549996,1,2015,5,6
2015-05-05,128.149994,128.449997,125.779999,125.800003,49271400,123.510453,2.349991,1,2015,5,5
2015-05-04,129.5,130.570007,128.259995,128.699997,50988300,126.357667,0.800003,1,2015,5,4
2015-05-01,126.099998,130.130005,125.300003,128.949997,58512600,126.603117,-2.849999,0,2015,5,1
2015-04-30,128.639999,128.639999,124.580002,125.150002,83195400,122.872281,3.489997,1,2015,4,30
2015-04-29,130.160004,131.589996,128.300003,128.639999,63386100,126.298762,1.520005,1,2015,4,29
2015-04-28,134.460007,134.539993,129.570007,130.559998,118924000,128.183816,3.900009,1,2015,4,28
2015-04-27,132.309998,133.130005,131.149994,132.649994,96954200,130.235775,-0.339996,0,2015,4,27
2015-04-24,130.490005,130.630005,129.229996,130.279999,44525900,127.908913,0.210006,1,2015,4,24
2015-04-23,128.300003,130.419998,128.139999,129.669998,45770900,127.310014,-1.369995,0,2015,4,23
2015-04-22,126.989998,128.869995,126.32,128.619995,37654500,126.279121,-1.629997,0,2015,4,22
2015-04-21,128.100006,128.199997,126.669998,126.910004,32435100,124.600252,1.190002,1,2015,4,21
2015-04-20,125.57,128.119995,125.169998,127.599998,47054300,125.277689,-2.029998,0,2015,4,20
2015-04-17,125.550003,126.139999,124.459999,124.75,51957000,122.47956,0.800003,1,2015,4,17
2015-04-16,126.279999,127.099998,126.110001,126.169998,28369000,123.873714,0.110001,1,2015,4,16
2015-04-15,126.410004,127.129997,126.010002,126.779999,28970400,124.472613,-0.369995,0,2015,4,15
2015-04-14,127,127.290001,125.910004,126.300003,25524600,124.001353,0.699997,1,2015,4,14
2015-04-13,128.369995,128.570007,126.610001,126.849998,36365100,124.541339,1.519997,1,2015,4,13
2015-04-10,125.949997,127.209999,125.260002,127.099998,40188000,124.786789,-1.150001,0,2015,4,10
2015-04-09,125.849998,126.580002,124.660004,126.559998,32484000,124.256616,-0.71,0,2015,4,9
2015-04-08,125.849998,126.400002,124.970001,125.599998,37329200,123.314088,0.25,1,2015,4,8
2015-04-07,127.639999,128.119995,125.980003,126.010002,35012300,123.71663,1.629997,1,2015,4,7
2015-04-06,124.470001,127.510002,124.330002,127.349998,37194000,125.032239,-2.879997,0,2015,4,6
2015-04-02,125.029999,125.559998,124.190002,125.32,32220100,123.039186,-0.290001,0,2015,4,2
2015-04-01,124.82,125.120003,123.099998,124.25,40621400,121.98866,0.57,1,2015,4,1
